System: Starting background adjustment process...
System: Memulai proses untuk akun A1 (Start: 2025-08-01, End: 2025-08-31)
System: Target PPN: 1000000000, Target BTKP: 100000000
System: Restarting adjustment with force rerun enabled...
Action: Start Dual Adjustment | ACC: ('A1',) | Target PPN: 1,000,000,000.00 | Target BTKP: 100,000,000.00
--- Memulai Fase Penyesuaian PPN ---
PPN -> Current: 3,441,193,788.50 | Gap: -2,441,193,788.50
[PPN] Target Pemotongan: 2,441,193,788.50
[PPN] Faktor Proporsi (P): 0.7089
[A1] Action: Reduce Qty [13000/20375] | Receipt: 04-250819/00031 | Product: 0350077    | Qty Reduced: 1.0 | Value: 9,150.00 | Remaining Gap: 1,748,884,283.25
[A1] Action: Reduce Qty [13000/20375] | Receipt: 04-250819/00031 | Product: 0240121    | Qty Reduced: 1.0 | Value: 39,600.00 | Remaining Gap: 1,748,844,683.25
[A1] Action: Reduce Qty [14000/20375] | Receipt: 02-250821/00066 | Product: 0620028    | Qty Reduced: 1.0 | Value: 9,750.00 | Remaining Gap: 1,693,964,234.25
[A1] Action: Reduce Qty [14000/20375] | Receipt: 02-250821/00066 | Product: 0611334    | Qty Reduced: 1.0 | Value: 8,700.00 | Remaining Gap: 1,693,955,534.25
[A1] Action: Reduce Qty [14000/20375] | Receipt: 02-250821/00066 | Product: 0360508    | Qty Reduced: 1.0 | Value: 4,400.00 | Remaining Gap: 1,693,951,134.25
[A1] Action: Reduce Qty [14000/20375] | Receipt: 02-250821/00066 | Product: 0250580    | Qty Reduced: 1.0 | Value: 8,250.00 | Remaining Gap: 1,693,942,884.25
[A1] Action: Reduce Qty [14000/20375] | Receipt: 02-250821/00066 | Product: 0350220    | Qty Reduced: 1.0 | Value: 8,100.00 | Remaining Gap: 1,693,934,784.25
[A1] Action: Reduce Qty [15500/20375] | Receipt: 04-250823/00174 | Product: 0101599    | Qty Reduced: 9.0 | Value: 18,450.00 | Remaining Gap: 1,621,206,479.25
[A1] Action: Reduce Qty [15500/20375] | Receipt: 04-250823/00174 | Product: 0341102    | Qty Reduced: 2.0 | Value: 9,400.00 | Remaining Gap: 1,621,197,079.25
[A1] Action: Reduce Qty [15500/20375] | Receipt: 04-250823/00174 | Product: 0620997    | Qty Reduced: 1.0 | Value: 27,400.00 | Remaining Gap: 1,621,169,679.25
[A1] Action: Reduce Qty [15500/20375] | Receipt: 04-250823/00174 | Product: 0620972    | Qty Reduced: 2.0 | Value: 45,000.00 | Remaining Gap: 1,621,124,679.25
[A1] Action: Reduce Qty [15500/20375] | Receipt: 04-250823/00174 | Product: 0101588    | Qty Reduced: 2.0 | Value: 315,400.00 | Remaining Gap: 1,620,809,279.25
[A1] Action: Reduce Qty [15500/20375] | Receipt: 04-250823/00174 | Product: 0730481    | Qty Reduced: 1.0 | Value: 71,500.00 | Remaining Gap: 1,620,737,779.25
[A1] Action: Reduce Qty [15500/20375] | Receipt: 04-250823/00174 | Product: 0380335    | Qty Reduced: 1.0 | Value: 9,400.00 | Remaining Gap: 1,620,728,379.25
[A1] Action: Reduce Qty [15500/20375] | Receipt: 04-250823/00174 | Product: 0380388    | Qty Reduced: 1.0 | Value: 9,600.00 | Remaining Gap: 1,620,718,779.25
[A1] Action: Reduce Qty [15500/20375] | Receipt: 04-250823/00174 | Product: 0330144    | Qty Reduced: 2.0 | Value: 24,600.00 | Remaining Gap: 1,620,694,179.25
[A1] Action: Reduce Qty [15500/20375] | Receipt: 04-250823/00174 | Product: 0360471    | Qty Reduced: 2.0 | Value: 59,600.00 | Remaining Gap: 1,620,634,579.25
[A1] Action: Reduce Qty [16000/20375] | Receipt: 05-250824/00009 | Product: 0110301    | Qty Reduced: 1.0 | Value: 3,100.00 | Remaining Gap: 1,594,524,914.25
[A1] Action: Reduce Qty [16000/20375] | Receipt: 05-250824/00009 | Product: 0110320    | Qty Reduced: 1.0 | Value: 3,300.00 | Remaining Gap: 1,594,521,614.25
[A1] Action: Reduce Qty [16000/20375] | Receipt: 05-250824/00009 | Product: 0110142    | Qty Reduced: 1.0 | Value: 3,300.00 | Remaining Gap: 1,594,518,314.25
[A1] Action: Reduce Qty [16000/20375] | Receipt: 05-250824/00009 | Product: 0080456    | Qty Reduced: 9.0 | Value: 20,700.00 | Remaining Gap: 1,594,497,614.25
[A1] Action: Reduce Qty [16000/20375] | Receipt: 05-250824/00009 | Product: 0110413    | Qty Reduced: 1.0 | Value: 12,300.00 | Remaining Gap: 1,594,485,314.25
[A1] Action: Reduce Qty [16000/20375] | Receipt: 05-250824/00009 | Product: 0080440    | Qty Reduced: 9.0 | Value: 13,500.00 | Remaining Gap: 1,594,471,814.25
[A1] Action: Reduce Qty [16000/20375] | Receipt: 05-250824/00009 | Product: 0110299    | Qty Reduced: 2.0 | Value: 6,200.00 | Remaining Gap: 1,594,465,614.25
[A1] Action: Reduce Qty [16000/20375] | Receipt: 05-250824/00009 | Product: 0090033    | Qty Reduced: 9.0 | Value: 16,650.00 | Remaining Gap: 1,594,448,964.25
[A1] Action: Reduce Qty [16000/20375] | Receipt: 05-250824/00009 | Product: 0080011    | Qty Reduced: 9.0 | Value: 15,750.00 | Remaining Gap: 1,594,433,214.25
